,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),지면온도(°C),holidays,HVM2,HVNM,HVEM,CentralPP,EEBuilding,MSBuilding,LSBuilding,MEBuilding,LGLibrary,StartupB,KumhoHall,CoolingPump123,CoolingPump456,MarriedAptE,Dorm9,AdvancedLight,MSBuildingE,EEBuildingE,LSBuildingE,MEBuildingE,LGLibraryE,CentralPPE,AdvancedLightE,HVNM1,HVNM2,HighVoltageCapacitor,RenewableEnergyBuilding,CollegeB,CollegeDormA,StudentUnion2,ScholarPP,FacultyApt,CollegeC,CentralResearchEquipmentCenter,CollegeA,DasanBuilding,IndustryCollabResearchBuilding,RenewableEnergyBuildingE,CollegeBE,CollegeDormAE,ScholarPPE,StudentUnion2E,FacultyAptE,CollegeCE,CentralResearchEquipmentCenterE,CollegeAE,DasanBuildingE,IndustryCollabResearchBuildingE,SV2,SV5,SV6
0,0,23.7,0.5,0.0,0.0,99,995.6,0.0,0.0,24.2,1.0,1279.8,1687.0,421.0,100.6,364.1,391.9,476.3,120.0,236.3,26.0,46.4,0.0,0.0,278.2,56.4,647.0,30.4,131.1,69.1,13.7,45.5,111.0,63.4,0.0,2296.8,788.9,980.5,280.4,154.9,67.5,83.6,78.7,187.0,349.9,30.7,565.4,0.0,97.3,37.5,39.3,40.7,30.4,14.9,30.3,49.0,27.1,49.4,17.4,2844.8,2209.5,639.7
1,1,23.7,0.3,0.0,0.0,99,995.5,0.0,0.0,24.1,1.0,1322.1,1650.0,411.0,96.2,362.4,389.7,476.1,120.9,230.6,29.3,45.1,0.0,0.0,261.5,55.1,697.1,30.1,127.6,68.4,15.5,34.8,125.4,61.6,0.0,2202.9,751.2,910.3,268.3,142.5,64.8,81.3,63.4,185.9,328.7,30.5,545.5,0.0,91.3,35.3,40.8,37.8,22.8,14.7,15.8,47.6,15.0,46.7,18.1,2794.3999999999996,2165.8,659.95
2,2,23.5,0.3,0.0,0.0,99,995.0,0.0,0.0,24.0,1.0,1278.0,1725.4,404.7,101.2,365.5,381.8,570.4,119.1,250.0,24.8,44.1,0.0,0.0,245.7,49.6,715.0,26.9,122.9,68.9,15.4,33.0,104.4,62.6,0.0,2208.3,755.2,925.0,281.1,130.4,60.0,74.2,58.6,182.4,326.4,29.0,542.3,0.0,89.1,25.3,33.1,40.6,30.8,17.8,16.7,47.9,20.1,45.0,17.5,2809.45,2184.75,642.65
3,3,23.5,0.0,0.0,0.0,99,995.0,0.0,0.0,24.0,1.0,1256.1,1656.2,405.8,100.6,354.6,376.3,484.9,119.1,232.5,24.6,45.5,0.0,0.0,225.8,43.8,690.8,21.8,123.3,67.6,16.2,34.9,105.4,61.7,0.0,2176.9,772.2,934.9,278.1,131.1,70.3,73.1,53.4,185.7,327.3,28.1,533.1,0.0,83.3,25.4,38.8,51.6,23.4,14.1,16.9,56.4,14.5,40.3,17.5,2724.45,2141.45,628.5
4,4,23.5,0.1,0.0,0.0,99,995.0,0.0,0.0,23.9,1.0,1233.6,1616.8,399.5,90.5,355.6,372.8,476.1,117.7,223.3,25.0,47.3,0.0,0.0,218.9,40.1,681.4,25.6,120.6,70.0,15.2,33.3,103.6,62.1,0.0,2160.8,768.0,921.5,279.3,123.1,68.9,71.2,53.6,183.0,331.5,36.3,528.3,0.0,77.7,32.0,30.4,38.7,20.9,14.4,15.7,47.6,13.6,33.2,17.5,2683.2,2093.35,618.0
5,5,23.1,0.1,1.7,230.0,99,995.9,0.0,0.0,23.7,1.0,1230.0,1626.5,356.2,117.9,360.1,371.0,491.4,116.3,227.5,25.6,44.3,0.0,0.0,369.3,40.7,701.4,21.4,120.6,68.9,19.4,32.8,61.2,59.6,0.0,2158.9,803.9,908.3,266.5,114.9,68.8,74.4,52.1,183.6,355.3,29.7,529.5,0.0,76.1,25.9,19.7,32.0,21.1,27.5,15.5,50.4,15.7,31.5,16.9,2664.8,2100.6499999999996,613.6
6,6,22.9,0.1,0.0,0.0,99,996.5,0.0,0.07,23.7,1.0,1196.4,1654.9,349.1,94.2,352.0,370.0,547.6,114.7,237.2,40.5,42.8,0.0,0.0,224.5,37.5,653.7,26.7,119.7,68.5,9.1,36.6,72.4,59.2,0.0,2142.3,806.0,910.2,256.0,110.9,103.8,71.6,56.8,179.7,339.6,31.5,523.1,0.0,74.6,24.2,32.1,20.3,25.9,26.8,15.3,48.8,13.3,31.1,17.2,2652.85,2084.05,595.2
7,7,22.8,0.0,0.2,0.0,99,996.9,0.0,0.12,23.9,1.0,1209.1,1606.0,364.0,87.1,350.6,379.6,480.7,124.5,199.7,28.1,43.2,0.0,0.0,206.1,35.6,696.6,21.0,118.9,73.0,9.2,36.0,62.9,60.5,0.0,2163.1,829.7,958.6,267.0,103.8,113.0,85.1,60.9,175.4,310.0,39.1,543.0,0.0,77.7,25.5,32.1,21.9,27.1,25.7,15.4,47.5,14.8,33.7,17.0,2629.95,2058.2,606.95
8,8,23.0,0.0,0.3,0.0,99,997.4,0.0,0.26,24.4,1.0,1206.5,1621.6,390.6,89.3,358.4,371.4,484.2,113.4,212.5,44.2,46.6,0.0,0.0,239.9,59.4,681.9,27.0,120.7,85.5,13.0,56.0,74.9,61.4,0.0,2229.0,817.7,938.5,265.9,107.8,141.3,68.8,78.1,188.8,312.6,26.1,549.7,8.1,79.5,23.8,34.6,33.7,23.4,34.2,15.3,48.1,14.3,34.2,17.7,2692.7,2096.1,606.2
9,9,23.3,0.2,0.4,0.0,99,997.9,0.0,0.37,25.3,1.0,1288.5,1659.8,413.6,72.3,349.4,380.5,543.2,118.0,234.8,24.6,45.1,0.0,0.0,237.3,43.4,728.3,23.2,121.3,74.9,6.5,62.5,74.8,60.2,0.0,2262.7,766.7,922.7,276.5,112.6,135.2,72.1,80.5,197.9,299.4,28.7,531.0,7.4,96.1,25.8,42.9,28.3,25.3,21.7,16.9,47.3,14.2,40.8,17.5,2768.8500000000004,2140.8,645.4
