,AirTempC,RainfallMm,WindSpeedMs,WindDirection,HumidityPercent,PressureHpa,SunshineHours,SolarRadiationMJm2,GroundTempC,HorizontalSurfaceTemp,OutdoorTemp,InclinedSurfaceTemp,ModuleTemp,SoccerField,StudentCenter,CentralWarehouse,AcademicBuilding,DasanBuilding,FacilitiesManagement,CollegeC,AnimalLab,MainLibrary,LGLibrary,RenewableEnergy,SamsungEnvBuilding,CentralResearchEquip,IndustryCollab,DormB
0,25.6,0.0,2.2,180,99,1006.1,0.0,0.0,25.0,0.0,25.6,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25.1,0.0,1.4,200,99,1006.1,0.0,0.0,24.8,0.0,25.1,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25.0,0.0,1.8,180,99,1005.8,0.0,0.0,24.4,0.0,24.6,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,24.9,0.0,1.6,200,99,1006.0,0.0,0.0,24.2,0.0,23.9,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,24.5,0.0,0.4,0,99,1006.2,0.0,0.0,24.0,0.0,23.2,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,24.4,0.0,1.0,50,99,1006.5,0.0,0.0,24.0,0.0,22.8,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,24.0,0.0,0.9,90,99,1006.7,0.1,0.1,24.0,54.0,25.4,13.0,21.6,0.0,0.7,0.4,0.0,0.1,0.6,0.4,0.7,0.0,0.5,1.1,0.0,0.4,2.0,0.7
7,25.1,0.0,0.9,70,99,1006.8,1.0,0.59,24.5,213.0,30.7,79.0,25.6,5.3,5.8,5.0,3.2,0.8,3.8,0.7,2.1,1.6,1.7,5.5,3.0,5.2,6.0,2.5
8,27.3,0.0,2.5,200,88,1006.8,1.0,1.29,27.4,412.0,34.5,271.0,31.2,33.3,14.3,11.2,5.7,5.1,23.5,3.0,3.6,6.8,6.6,17.2,13.3,24.5,25.1,8.0
9,28.4,0.0,3.3,180,83,1006.9,1.0,1.96,32.0,751.0,36.1,610.0,40.8,33.0,23.7,18.6,10.3,16.1,56.0,3.6,9.0,16.4,21.1,37.7,32.4,50.2,43.3,14.9
10,29.8,0.0,1.9,160,74,1006.8,1.0,2.75,36.0,796.0,44.4,693.0,48.7,82.8,27.8,18.9,16.7,18.6,67.1,8.0,22.9,17.9,24.7,40.5,35.4,65.8,66.9,28.4
